time_s,j0,j1,j2,j3,j4,j5,j6
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.003142,0.003142,0.003142,0.003142,0.003142,0.003142,0.003142
0.002000,0.006283,0.006283,0.006283,0.006283,0.006283,0.006283,0.006283
0.003000,0.009425,0.009425,0.009425,0.009425,0.009425,0.009425,0.009425
0.004000,0.012566,0.012566,0.012566,0.012566,0.012566,0.012566,0.012566
0.005000,0.015707,0.015707,0.015707,0.015707,0.015707,0.015707,0.015707
0.006000,0.018848,0.018848,0.018848,0.018848,0.018848,0.018848,0.018848
0.007000,0.021989,0.021989,0.021989,0.021989,0.021989,0.021989,0.021989
0.008000,0.025130,0.025130,0.025130,0.025130,0.025130,0.025130,0.025130
0.009000,0.028271,0.028271,0.028271,0.028271,0.028271,0.028271,0.028271
0.010000,0.031411,0.031411,0.031411,0.031411,0.031411,0.031411,0.031411
0.011000,0.034551,0.034551,0.034551,0.034551,0.034551,0.034551,0.034551
0.012000,0.037690,0.037690,0.037690,0.037690,0.037690,0.037690,0.037690
0.013000,0.040829,0.040829,0.040829,0.040829,0.040829,0.040829,0.040829
0.014000,0.043968,0.043968,0.043968,0.043968,0.043968,0.043968,0.043968
0.015000,0.047106,0.047106,0.047106,0.047106,0.047106,0.047106,0.047106
0.016000,0.050244,0.050244,0.050244,0.050244,0.050244,0.050244,0.050244
0.017000,0.053382,0.053382,0.053382,0.053382,0.053382,0.053382,0.053382
0.018000,0.056519,0.056519,0.056519,0.056519,0.056519,0.056519,0.056519
0.019000,0.059655,0.059655,0.059655,0.059655,0.059655,0.059655,0.059655
0.020000,0.062791,0.062791,0.062791,0.062791,0.062791,0.062791,0.062791
0.021000,0.065926,0.065926,0.065926,0.065926,0.065926,0.065926,0.065926
0.022000,0.069060,0.069060,0.069060,0.069060,0.069060,0.069060,0.069060
0.023000,0.072194,0.072194,0.072194,0.072194,0.072194,0.072194,0.072194
0.024000,0.075327,0.075327,0.075327,0.075327,0.075327,0.075327,0.075327
0.025000,0.078459,0.078459,0.078459,0.078459,0.078459,0.078459,0.078459
0.026000,0.081591,0.081591,0.081591,0.081591,0.081591,0.081591,0.081591
0.027000,0.084721,0.084721,0.084721,0.084721,0.084721,0.084721,0.084721
0.028000,0.087851,0.087851,0.087851,0.087851,0.087851,0.087851,0.087851
0.029000,0.090980,0.090980,0.090980,0.090980,0.090980,0.090980,0.090980
0.030000,0.094108,0.094108,0.094108,0.094108,0.094108,0.094108,0.094108
0.031000,0.097235,0.097235,0.097235,0.097235,0.097235,0.097235,0.097235
0.032000,0.100362,0.100362,0.100362,0.100362,0.100362,0.100362,0.100362
0.033000,0.103487,0.103487,0.103487,0.103487,0.103487,0.103487,0.103487
0.034000,0.106611,0.106611,0.106611,0.106611,0.106611,0.106611,0.106611
0.035000,0.109734,0.109734,0.109734,0.109734,0.109734,0.109734,0.109734
0.036000,0.112856,0.112856,0.112856,0.112856,0.112856,0.112856,0.112856
0.037000,0.115977,0.115977,0.115977,0.115977,0.115977,0.115977,0.115977
0.038000,0.119097,0.119097,0.119097,0.119097,0.119097,0.119097,0.119097
0.039000,0.122216,0.122216,0.122216,0.122216,0.122216,0.122216,0.122216
0.040000,0.125333,0.125333,0.125333,0.125333,0.125333,0.125333,0.125333
0.041000,0.128449,0.128449,0.128449,0.128449,0.128449,0.128449,0.128449
0.042000,0.131564,0.131564,0.131564,0.131564,0.131564,0.131564,0.131564
0.043000,0.134678,0.134678,0.134678,0.134678,0.134678,0.134678,0.134678
0.044000,0.137790,0.137790,0.137790,0.137790,0.137790,0.137790,0.137790
0.045000,0.140901,0.140901,0.140901,0.140901,0.140901,0.140901,0.140901
0.046000,0.144011,0.144011,0.144011,0.144011,0.144011,0.144011,0.144011
0.047000,0.147119,0.147119,0.147119,0.147119,0.147119,0.147119,0.147119
0.048000,0.150226,0.150226,0.150226,0.150226,0.150226,0.150226,0.150226
0.049000,0.153331,0.153331,0.153331,0.153331,0.153331,0.153331,0.153331
0.050000,0.156434,0.156434,0.156434,0.156434,0.156434,0.156434,0.156434
0.051000,0.159537,0.159537,0.159537,0.159537,0.159537,0.159537,0.159537
0.052000,0.162637,0.162637,0.162637,0.162637,0.162637,0.162637,0.162637
0.053000,0.165736,0.165736,0.165736,0.165736,0.165736,0.165736,0.165736
0.054000,0.168833,0.168833,0.168833,0.168833,0.168833,0.168833,0.168833
0.055000,0.171929,0.171929,0.171929,0.171929,0.171929,0.171929,0.171929
0.056000,0.175023,0.175023,0.175023,0.175023,0.175023,0.175023,0.175023
0.057000,0.178115,0.178115,0.178115,0.178115,0.178115,0.178115,0.178115
0.058000,0.181206,0.181206,0.181206,0.181206,0.181206,0.181206,0.181206
0.059000,0.184294,0.184294,0.184294,0.184294,0.184294,0.184294,0.184294
0.060000,0.187381,0.187381,0.187381,0.187381,0.187381,0.187381,0.187381
0.061000,0.190466,0.190466,0.190466,0.190466,0.190466,0.190466,0.190466
0.062000,0.193549,0.193549,0.193549,0.193549,0.193549,0.193549,0.193549
0.063000,0.196631,0.196631,0.196631,0.196631,0.196631,0.196631,0.196631
0.064000,0.199710,0.199710,0.199710,0.199710,0.199710,0.199710,0.199710
0.065000,0.202787,0.202787,0.202787,0.202787,0.202787,0.202787,0.202787
0.066000,0.205863,0.205863,0.205863,0.205863,0.205863,0.205863,0.205863
0.067000,0.208936,0.208936,0.208936,0.208936,0.208936,0.208936,0.208936
0.068000,0.212007,0.212007,0.212007,0.212007,0.212007,0.212007,0.212007
0.069000,0.215076,0.215076,0.215076,0.215076,0.215076,0.215076,0.215076
0.070000,0.218143,0.218143,0.218143,0.218143,0.218143,0.218143,0.218143
0.071000,0.221208,0.221208,0.221208,0.221208,0.221208,0.221208,0.221208
0.072000,0.224271,0.224271,0.224271,0.224271,0.224271,0.224271,0.224271
0.073000,0.227331,0.227331,0.227331,0.227331,0.227331,0.227331,0.227331
0.074000,0.230389,0.230389,0.230389,0.230389,0.230389,0.230389,0.230389
0.075000,0.233445,0.233445,0.233445,0.233445,0.233445,0.233445,0.233445
0.076000,0.236499,0.236499,0.236499,0.236499,0.236499,0.236499,0.236499
0.077000,0.239550,0.239550,0.239550,0.239550,0.239550,0.239550,0.239550
0.078000,0.242599,0.242599,0.242599,0.242599,0.242599,0.242599,0.242599
0.079000,0.245646,0.245646,0.245646,0.245646,0.245646,0.245646,0.245646
0.080000,0.248690,0.248690,0.248690,0.248690,0.248690,0.248690,0.248690
0.081000,0.251732,0.251732,0.251732,0.251732,0.251732,0.251732,0.251732
0.082000,0.254771,0.254771,0.254771,0.254771,0.254771,0.254771,0.254771
0.083000,0.257807,0.257807,0.257807,0.257807,0.257807,0.257807,0.257807
0.084000,0.260842,0.260842,0.260842,0.260842,0.260842,0.260842,0.260842
0.085000,0.263873,0.263873,0.263873,0.263873,0.263873,0.263873,0.263873
0.086000,0.266902,0.266902,0.266902,0.266902,0.266902,0.266902,0.266902
0.087000,0.269928,0.269928,0.269928,0.269928,0.269928,0.269928,0.269928
0.088000,0.272952,0.272952,0.272952,0.272952,0.272952,0.272952,0.272952
0.089000,0.275973,0.275973,0.275973,0.275973,0.275973,0.275973,0.275973
0.090000,0.278991,0.278991,0.278991,0.278991,0.278991,0.278991,0.278991
0.091000,0.282007,0.282007,0.282007,0.282007,0.282007,0.282007,0.282007
0.092000,0.285019,0.285019,0.285019,0.285019,0.285019,0.285019,0.285019
0.093000,0.288029,0.288029,0.288029,0.288029,0.288029,0.288029,0.288029
0.094000,0.291036,0.291036,0.291036,0.291036,0.291036,0.291036,0.291036
0.095000,0.294040,0.294040,0.294040,0.294040,0.294040,0.294040,0.294040
0.096000,0.297042,0.297042,0.297042,0.297042,0.297042,0.297042,0.297042
0.097000,0.300040,0.300040,0.300040,0.300040,0.300040,0.300040,0.300040
0.098000,0.303035,0.303035,0.303035,0.303035,0.303035,0.303035,0.303035
0.099000,0.306028,0.306028,0.306028,0.306028,0.306028,0.306028,0.306028
0.100000,0.309017,0.309017,0.309017,0.309017,0.309017,0.309017,0.309017
0.101000,0.312003,0.312003,0.312003,0.312003,0.312003,0.312003,0.312003
0.102000,0.314987,0.314987,0.314987,0.314987,0.314987,0.314987,0.314987
0.103000,0.317967,0.317967,0.317967,0.317967,0.317967,0.317967,0.317967
0.104000,0.320944,0.320944,0.320944,0.320944,0.320944,0.320944,0.320944
0.105000,0.323917,0.323917,0.323917,0.323917,0.323917,0.323917,0.323917
0.106000,0.326888,0.326888,0.326888,0.326888,0.326888,0.326888,0.326888
0.107000,0.329855,0.329855,0.329855,0.329855,0.329855,0.329855,0.329855
0.108000,0.332820,0.332820,0.332820,0.332820,0.332820,0.332820,0.332820
0.109000,0.335780,0.335780,0.335780,0.335780,0.335780,0.335780,0.335780
0.110000,0.338738,0.338738,0.338738,0.338738,0.338738,0.338738,0.338738
0.111000,0.341692,0.341692,0.341692,0.341692,0.341692,0.341692,0.341692
0.112000,0.344643,0.344643,0.344643,0.344643,0.344643,0.344643,0.344643
0.113000,0.347590,0.347590,0.347590,0.347590,0.347590,0.347590,0.347590
0.114000,0.350534,0.350534,0.350534,0.350534,0.350534,0.350534,0.350534
0.115000,0.353475,0.353475,0.353475,0.353475,0.353475,0.353475,0.353475
0.116000,0.356412,0.356412,0.356412,0.356412,0.356412,0.356412,0.356412
0.117000,0.359345,0.359345,0.359345,0.359345,0.359345,0.359345,0.359345
0.118000,0.362275,0.362275,0.362275,0.362275,0.362275,0.362275,0.362275
0.119000,0.365202,0.365202,0.365202,0.365202,0.365202,0.365202,0.365202
0.120000,0.368125,0.368125,0.368125,0.368125,0.368125,0.368125,0.368125
0.121000,0.371044,0.371044,0.371044,0.371044,0.371044,0.371044,0.371044
0.122000,0.373959,0.373959,0.373959,0.373959,0.373959,0.373959,0.373959
0.123000,0.376871,0.376871,0.376871,0.376871,0.376871,0.376871,0.376871
0.124000,0.379779,0.379779,0.379779,0.379779,0.379779,0.379779,0.379779
0.125000,0.382683,0.382683,0.382683,0.382683,0.382683,0.382683,0.382683
0.126000,0.385584,0.385584,0.385584,0.385584,0.385584,0.385584,0.385584
0.127000,0.388481,0.388481,0.388481,0.388481,0.388481,0.388481,0.388481
0.128000,0.391374,0.391374,0.391374,0.391374,0.391374,0.391374,0.391374
0.129000,0.394263,0.394263,0.394263,0.394263,0.394263,0.394263,0.394263
0.130000,0.397148,0.397148,0.397148,0.397148,0.397148,0.397148,0.397148
0.131000,0.400029,0.400029,0.400029,0.400029,0.400029,0.400029,0.400029
0.132000,0.402906,0.402906,0.402906,0.402906,0.402906,0.402906,0.402906
0.133000,0.405780,0.405780,0.405780,0.405780,0.405780,0.405780,0.405780
0.134000,0.408649,0.408649,0.408649,0.408649,0.408649,0.408649,0.408649
0.135000,0.411514,0.411514,0.411514,0.411514,0.411514,0.411514,0.411514
0.136000,0.414376,0.414376,0.414376,0.414376,0.414376,0.414376,0.414376
0.137000,0.417233,0.417233,0.417233,0.417233,0.417233,0.417233,0.417233
0.138000,0.420086,0.420086,0.420086,0.420086,0.420086,0.420086,0.420086
0.139000,0.422935,0.422935,0.422935,0.422935,0.422935,0.422935,0.422935
0.140000,0.425779,0.425779,0.425779,0.425779,0.425779,0.425779,0.425779
0.141000,0.428620,0.428620,0.428620,0.428620,0.428620,0.428620,0.428620
0.142000,0.431456,0.431456,0.431456,0.431456,0.431456,0.431456,0.431456
0.143000,0.434288,0.434288,0.434288,0.434288,0.434288,0.434288,0.434288
0.144000,0.437116,0.437116,0.437116,0.437116,0.437116,0.437116,0.437116
0.145000,0.439939,0.439939,0.439939,0.439939,0.439939,0.439939,0.439939
0.146000,0.442758,0.442758,0.442758,0.442758,0.442758,0.442758,0.442758
0.147000,0.445573,0.445573,0.445573,0.445573,0.445573,0.445573,0.445573
0.148000,0.448383,0.448383,0.448383,0.448383,0.448383,0.448383,0.448383
0.149000,0.451189,0.451189,0.451189,0.451189,0.451189,0.451189,0.451189
0.150000,0.453990,0.453990,0.453990,0.453990,0.453990,0.453990,0.453990
0.151000,0.456787,0.456787,0.456787,0.456787,0.456787,0.456787,0.456787
0.152000,0.459580,0.459580,0.459580,0.459580,0.459580,0.459580,0.459580
0.153000,0.462368,0.462368,0.462368,0.462368,0.462368,0.462368,0.462368
0.154000,0.465151,0.465151,0.465151,0.465151,0.465151,0.465151,0.465151
0.155000,0.467930,0.467930,0.467930,0.467930,0.467930,0.467930,0.467930
0.156000,0.470704,0.470704,0.470704,0.470704,0.470704,0.470704,0.470704
0.157000,0.473473,0.473473,0.473473,0.473473,0.473473,0.473473,0.473473
0.158000,0.476238,0.476238,0.476238,0.476238,0.476238,0.476238,0.476238
0.159000,0.478998,0.478998,0.478998,0.478998,0.478998,0.478998,0.478998
0.160000,0.481754,0.481754,0.481754,0.481754,0.481754,0.481754,0.481754
0.161000,0.484504,0.484504,0.484504,0.484504,0.484504,0.484504,0.484504
0.162000,0.487250,0.487250,0.487250,0.487250,0.487250,0.487250,0.487250
0.163000,0.489991,0.489991,0.489991,0.489991,0.489991,0.489991,0.489991
0.164000,0.492727,0.492727,0.492727,0.492727,0.492727,0.492727,0.492727
0.165000,0.495459,0.495459,0.495459,0.495459,0.495459,0.495459,0.495459
0.166000,0.498185,0.498185,0.498185,0.498185,0.498185,0.498185,0.498185
0.167000,0.500907,0.500907,0.500907,0.500907,0.500907,0.500907,0.500907
0.168000,0.503623,0.503623,0.503623,0.503623,0.503623,0.503623,0.503623
0.169000,0.506335,0.506335,0.506335,0.506335,0.506335,0.506335,0.506335
0.170000,0.509041,0.509041,0.509041,0.509041,0.509041,0.509041,0.509041
0.171000,0.511743,0.511743,0.511743,0.511743,0.511743,0.511743,0.511743
0.172000,0.514440,0.514440,0.514440,0.514440,0.514440,0.514440,0.514440
0.173000,0.517131,0.517131,0.517131,0.517131,0.517131,0.517131,0.517131
0.174000,0.519817,0.519817,0.519817,0.519817,0.519817,0.519817,0.519817
0.175000,0.522499,0.522499,0.522499,0.522499,0.522499,0.522499,0.522499
